CAGR_v0,daily_sharpe_v0,max_drawdown_v0,avg_drawdown_v0,win_ratio_v0,ytd_v0,strategy_v0,sharpe_ann_v0,F組合_v0,C_v0,C編號_v0,C來源_v0,key,CAGR_v1,daily_sharpe_v1,max_drawdown_v1,avg_drawdown_v1,win_ratio_v1,ytd_v1,strategy_v1,sharpe_ann_v1,F組合_v1,C_v1,C編號_v1,C來源_v1,dCAGR,dMDD,持股數_v1,持股數_v0,象限,F1因子
0.1556510947828651,14.79,-0.30352755500485307,-0.047868995592741374,0.4788764820996892,-0.012387404434622051,PB_qb0of3__None__C10_EPS_DYN_qmax4__v0,0.9922640322850637,PB_qb0of3__None,C10_EPS_DYN_qmax4,10,EPS,PB_qb0of3__None__C10_EPS_DYN_qmax4,0.1733745721515847,16.06,-0.6027601702248195,-0.07774784251463722,0.5089216446858029,-0.13811539717673837,PB_qb0of3__None__C10_EPS_DYN_qmax4__v1,0.7376447098712868,PB_qb0of3__None,C10_EPS_DYN_qmax4,10,EPS,0.017723477368719598,-0.29923261521996647,17.673640167364017,165.77992277992277,② 報酬升 風險升,PB
0.14276414208441657,15.09,-0.29923716733861205,-0.043117097303544516,0.4487646820575132,-0.0427713119755857,PB_qb0of3__None__C11_EPS_DYN_qmax8__v0,1.0087335839391036,PB_qb0of3__None,C11_EPS_DYN_qmax8,11,EPS,PB_qb0of3__None__C11_EPS_DYN_qmax8,0.11470024271112345,21.04,-0.3901939225606341,-0.08394538624949245,0.5036855036855037,-0.24098223422719567,PB_qb0of3__None__C11_EPS_DYN_qmax8__v1,0.5925894697233933,PB_qb0of3__None,C11_EPS_DYN_qmax8,11,EPS,-0.028063899373293122,-0.09095675522202207,11.914027149321267,94.08494208494209,④ 報酬降 風險升（雙輸）,PB
0.15442027580738205,15.14,-0.4454114316840663,-0.053384495303219426,0.48249199160499284,0.002876609464711466,PB_qb0of3__None__C12_EPS_DYN_yoy__v0,0.9116684219220351,PB_qb0of3__None,C12_EPS_DYN_yoy,12,EPS,PB_qb0of3__None__C12_EPS_DYN_yoy,0.16633221960950517,17.8,-0.613901779418853,-0.08405783257264109,0.5135882081989867,-0.12203263290575928,PB_qb0of3__None__C12_EPS_DYN_yoy__v1,0.7795979816729056,PB_qb0of3__None,C12_EPS_DYN_yoy,12,EPS,0.011911943802123126,-0.16849034773478677,32.71739130434783,225.21235521235522,② 報酬升 風險升,PB
0.13492355339269113,16.03,-0.3858740847318598,-0.05947448391560144,0.4845458868283405,0.006856852295209714,PB_qb0of3__None__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,0.8509337679784538,PB_qb0of3__None,C13_EPS_DYN_ytdavg_gt_lyytdavg,13,EPS,PB_qb0of3__None__C13_EPS_DYN_ytdavg_gt_lyytdavg,0.10474823621922225,20.99,-0.46442648321486635,-0.09794426763175752,0.5088028169014085,-0.05221470761472635,PB_qb0of3__None__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,0.6006428622652754,PB_qb0of3__None,C13_EPS_DYN_ytdavg_gt_lyytdavg,13,EPS,-0.030175317173468885,-0.07855239848300655,37.79385964912281,227.8300395256917,④ 報酬降 風險升（雙輸）,PB
0.16114907146158708,15.59,-0.4716690468555078,-0.05936534432518032,0.48916073087643236,0.017417899224708044,PB_qb0of3__None__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.9342950717625689,PB_qb0of3__None,C14_EPS_DYN_ytdavg_gt_lyavg,14,EPS,PB_qb0of3__None__C14_EPS_DYN_ytdavg_gt_lyavg,0.14346743550872199,18.73,-0.5986481448689439,-0.09644982261449511,0.5251694094869312,-0.0595495004861486,PB_qb0of3__None__C14_EPS_DYN_ytdavg_gt_lyavg__v1,0.6879161893891843,PB_qb0of3__None,C14_EPS_DYN_ytdavg_gt_lyavg,14,EPS,-0.017681635952865093,-0.1269790980134361,32.43801652892562,222.40926640926642,④ 報酬降 風險升（雙輸）,PB
0.1566998654344547,20.02,-0.6113765430734057,-0.08984913535936417,0.49140674729471673,0.03175789071360291,PB_qb0of3__None__C15_FCF_P_DYN_riseq1__v0,0.7684520831368561,PB_qb0of3__None,C15_FCF_P_DYN_riseq1,15,FCF_P,PB_qb0of3__None__C15_FCF_P_DYN_riseq1,0.12917964821636785,22.72,-0.6285176986336518,-0.11331394894580364,0.4688427299703264,-0.007407132007096862,PB_qb0of3__None__C15_FCF_P_DYN_riseq1__v1,0.6612028284579767,PB_qb0of3__None,C15_FCF_P_DYN_riseq1,15,FCF_P,-0.02752021721808684,-0.01714115556024609,30.220408163265308,213.17857142857142,④ 報酬降 風險升（雙輸）,PB
0.15523146860040526,18.94,-0.5863732385036503,-0.08276161298248721,0.5171330089213301,0.012748308491991489,PB_qb0of3__None__C16_FCF_P_DYN_riseq2__v0,0.7788608891931171,PB_qb0of3__None,C16_FCF_P_DYN_riseq2,16,FCF_P,PB_qb0of3__None__C16_FCF_P_DYN_riseq2,0.08981984268777898,25.32,-0.6456207241197945,-0.11124821300908508,0.4850513163766176,-0.04170184752699069,PB_qb0of3__None__C16_FCF_P_DYN_riseq2__v1,0.5076091167259561,PB_qb0of3__None,C16_FCF_P_DYN_riseq2,16,FCF_P,-0.06541162591262628,-0.059247485616144235,31.551020408163264,220.5275590551181,④ 報酬降 風險升（雙輸）,PB
0.09127298666665085,23.91,-0.35082443717881306,-0.0643598415116586,0.4374336596296733,0.05933293949886509,PB_qb0of3__None__C17_FCF_P_DYN_qmax4__v0,0.6684348147439282,PB_qb0of3__None,C17_FCF_P_DYN_qmax4,17,FCF_P,PB_qb0of3__None__C17_FCF_P_DYN_qmax4,0.06358482198661575,33.44,-0.6499737070484742,-0.13091015686760113,0.4476122594440485,0.023975335839709455,PB_qb0of3__None__C17_FCF_P_DYN_qmax4__v1,0.3825422014716269,PB_qb0of3__None,C17_FCF_P_DYN_qmax4,17,FCF_P,-0.0276881646800351,-0.29914926986966117,16.68503937007874,165.8108108108108,④ 報酬降 風險升（雙輸）,PB
0.07866694918308936,26.62,-0.3066484793439773,-0.04881064083267316,0.40913644560208373,0.00821266266580123,PB_qb0of3__None__C18_FCF_P_DYN_qmax8__v0,0.645102591669568,PB_qb0of3__None,C18_FCF_P_DYN_qmax8,18,FCF_P,PB_qb0of3__None__C18_FCF_P_DYN_qmax8,0.05843135832161939,33.66,-0.6152238640001307,-0.17121773036659999,0.449874686716792,-0.03939580681978372,PB_qb0of3__None__C18_FCF_P_DYN_qmax8__v1,0.3552423600532289,PB_qb0of3__None,C18_FCF_P_DYN_qmax8,18,FCF_P,-0.020235590861469976,-0.3085753846561534,9.59274193548387,110.86486486486487,④ 報酬降 風險升（雙輸）,PB
0.16343265046461197,18.58,-0.6201796994016282,-0.08609145889782352,0.5134748877092691,0.0031122742136289183,PB_qb0of3__None__C19_FCF_P_DYN_yoy__v0,0.808019346431404,PB_qb0of3__None,C19_FCF_P_DYN_yoy,19,FCF_P,PB_qb0of3__None__C19_FCF_P_DYN_yoy,0.08869591444283453,24.38,-0.6496598830961777,-0.12783492221455822,0.48115687992988604,-0.04976809585739017,PB_qb0of3__None__C19_FCF_P_DYN_yoy__v1,0.5088556536462452,PB_qb0of3__None,C19_FCF_P_DYN_yoy,19,FCF_P,-0.07473673602177744,-0.029480183694549522,31.522448979591836,219.71774193548387,④ 報酬降 風險升（雙輸）,PB
0.1602536823720715,17.9,-0.5029212422495797,-0.0836560827345368,0.5385921580734795,-0.014869553637737787,PB_qb0of3__None__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,0.8351573097405542,PB_qb0of3__None,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,20,FCF_P,PB_qb0of3__None__C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.11798686051074458,21.44,-0.5160455794845962,-0.10520823361926025,0.4972401103955842,-0.06921925102917892,PB_qb0of3__None__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,0.6351354036462394,PB_qb0of3__None,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,20,FCF_P,-0.04226682186132691,-0.013124337235016492,33.12970711297071,219.7439024390244,④ 報酬降 風險升（雙輸）,PB
0.14126653747768958,17.0,-0.40966752748433366,-0.059985455720714065,0.5141255605381166,0.017784155158152792,PB_qb0of3__PS_qb0of3__None__v0,0.8670719652045409,PB_qb0of3__PS_qb0of3,None,0,None,PB_qb0of3__PS_qb0of3__None,0.1304196437868259,19.49,-0.5853923531741883,-0.09727396926332027,0.4950537634408602,-0.02167713195359755,PB_qb0of3__PS_qb0of3__None__v1,0.6736952300716232,PB_qb0of3__PS_qb0of3,None,0,None,-0.010846893690863668,-0.1757248256898546,34.03861003861004,302.5482625482625,④ 報酬降 風險升（雙輸）,PB
0.16164154175510892,15.38,-0.5699929101656818,-0.06836628805426798,0.45619979919678716,-0.05567503627616299,PB_qb0of3__PS_qb0of3__C1_ROE_DYN_riseq1__v0,0.8471676295207933,PB_qb0of3__PS_qb0of3,C1_ROE_DYN_riseq1,1,ROE,PB_qb0of3__PS_qb0of3__C1_ROE_DYN_riseq1,0.19262630948814397,17.83,-0.6328229441823918,-0.0973435724728968,0.5011971268954509,-0.06551857661208627,PB_qb0of3__PS_qb0of3__C1_ROE_DYN_riseq1__v1,0.8443550335740053,PB_qb0of3__PS_qb0of3,C1_ROE_DYN_riseq1,1,ROE,0.030984767733035046,-0.06283003401671006,18.01260504201681,140.95752895752895,② 報酬升 風險升,PB
0.1720769451029316,14.66,-0.4242784402695954,-0.05320337571408187,0.4791409147095179,-0.028949847798760975,PB_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v0,0.9689250309745974,PB_qb0of3__PS_qb0of3,C2_ROE_DYN_riseq2,2,ROE,PB_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2,0.19225431409608218,17.72,-0.6270810686565205,-0.08530374817444135,0.5188101487314086,-0.09211807463758492,PB_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v1,0.825097835319448,PB_qb0of3__PS_qb0of3,C2_ROE_DYN_riseq2,2,ROE,0.02017736899315059,-0.2028026283869251,17.180257510729614,142.34362934362935,② 報酬升 風險升,PB
0.1561414213791501,13.99,-0.318019166252824,-0.04363709045218534,0.4442601805785885,-0.07159657018784127,PB_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,1.0094648777382313,PB_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,3,ROE,PB_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4,0.2073331892357524,14.85,-0.6187019849883978,-0.09138014221473453,0.5013192612137203,-0.12240691460636244,PB_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v1,0.7573277198121875,PB_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,3,ROE,0.05119176785660229,-0.3006828187355738,10.276150627615063,108.91119691119691,② 報酬升 風險升,PB
0.15409098552970035,13.29,-0.3051567397804079,-0.04109927085589896,0.4190416536172878,-0.07664698656416591,PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,1.0367808012761137,PB_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,4,ROE,PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8,0.1441171924348159,17.08,-0.5423199401294079,-0.11133339149167387,0.5030181086519114,-0.06918170873281548,PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v1,0.6196337882265215,PB_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,4,ROE,-0.009973793094884442,-0.23716320034899996,7.601895734597156,67.48648648648648,④ 報酬降 風險升（雙輸）,PB
0.16360666146215652,13.88,-0.3959406535454809,-0.04851207711672129,0.46375481739768765,-0.015077155884857696,PB_qb0of3__PS_qb0of3__C5_ROE_DYN_yoy__v0,0.96616853456827,PB_qb0of3__PS_qb0of3,C5_ROE_DYN_yoy,5,ROE,PB_qb0of3__PS_qb0of3__C5_ROE_DYN_yoy,0.14050157379989825,16.31,-0.6135446673835708,-0.09618568586230257,0.5074758135444152,-0.17346713578860318,PB_qb0of3__PS_qb0of3__C5_ROE_DYN_yoy__v1,0.6306519501533496,PB_qb0of3__PS_qb0of3,C5_ROE_DYN_yoy,5,ROE,-0.023105087662258272,-0.21760401383808992,17.90497737556561,129.90347490347492,④ 報酬降 風險升（雙輸）,PB
0.14553333582582528,14.45,-0.322466341630801,-0.051349958436667516,0.4550134836969846,0.004012827294814558,PB_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,0.9332048778215842,PB_qb0of3__PS_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,6,ROE,PB_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg,0.11504895686522976,18.0,-0.4353062426574944,-0.10280394811171868,0.5155592935239697,-0.03146088683099124,PB_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,0.6274235770352731,PB_qb0of3__PS_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,6,ROE,-0.030484378960595526,-0.11283990102669339,19.721973094170405,129.60474308300394,④ 報酬降 風險升（雙輸）,PB
0.17507198246147238,13.94,-0.40515694772974753,-0.0507294117363456,0.4641239570917759,0.02922802252018819,PB_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,1.0245133155195953,PB_qb0of3__PS_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,7,ROE,PB_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg,0.1770082560361952,15.91,-0.5447544485023457,-0.08687931354052128,0.5207207207207207,-0.02444270742357091,PB_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,0.784035432177861,PB_qb0of3__PS_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,7,ROE,0.0019362735747228133,-0.13959750077259814,16.946280991735538,128.16216216216216,② 報酬升 風險升,PB
0.1598943542283342,15.37,-0.5626232336382132,-0.07019755520962893,0.45522018802572983,-0.021110931556766466,PB_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v0,0.846611367912777,PB_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,8,EPS,PB_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1,0.17664002980838633,18.96,-0.6261624699628572,-0.10094774780070864,0.5043205027494109,-0.04889980362310964,PB_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v1,0.7789012205740249,PB_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,8,EPS,0.016745675580052133,-0.06353923632464398,18.285714285714285,143.63706563706563,② 報酬升 風險升,PB
0.17104199801510322,14.7,-0.39915817784302643,-0.05267495231724113,0.4735955916118169,-0.01505505060715373,PB_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v0,0.9673764971588423,PB_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,9,EPS,PB_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2,0.16680683436484212,19.45,-0.6074998027718251,-0.09163815127312992,0.5237273511647972,-0.08528373333919825,PB_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v1,0.7387753596509695,PB_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,9,EPS,-0.004235163650261109,-0.2083416249287987,17.27038626609442,145.12355212355212,④ 報酬降 風險升（雙輸）,PB
0.1623035147191556,13.51,-0.31526521539073726,-0.04467144179067289,0.44950213371266,-0.043899375994541856,PB_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,1.0293278030691442,PB_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,10,EPS,PB_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4,0.1737704429768845,15.01,-0.6544972311430909,-0.09345474888481956,0.5125,-0.08922742009063778,PB_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v1,0.7080966699755401,PB_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,10,EPS,0.011466928257728881,-0.3392320157523536,10.786610878661088,112.97297297297297,② 報酬升 風險升,PB
0.148519142330773,13.46,-0.32101608398887593,-0.04357094063660149,0.41469893742621017,-0.09075683203222573,PB_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,1.0058790871912182,PB_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,11,EPS,PB_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8,0.13125332214446717,19.43,-0.41008462801194545,-0.10605555538311928,0.5027932960893855,-0.17203189092972415,PB_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v1,0.589495954835201,PB_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,11,EPS,-0.017265820186305847,-0.08906854402306952,7.701357466063349,69.23552123552123,④ 報酬降 風險升（雙輸）,PB
0.16529732911126915,13.81,-0.38872438077619265,-0.04894009011733142,0.45794559770937726,-0.026014147460235115,PB_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v0,0.9659027857436909,PB_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,12,EPS,PB_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy,0.1629445284953812,16.2,-0.5756416205491386,-0.0925075141010004,0.5184534270650264,-0.14965476184279947,PB_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v1,0.7319813226476586,PB_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,12,EPS,-0.00235280061588794,-0.18691723977294594,17.435555555555556,133.6061776061776,④ 報酬降 風險升（雙輸）,PB
0.14238504410861408,14.6,-0.3214434999500432,-0.05233103127370412,0.4518144676760394,-0.008939249555783735,PB_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,0.9090820419191451,PB_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,13,EPS,PB_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg,0.10472168426872663,18.12,-0.4933959112075982,-0.11158151907287692,0.5163727959697733,-0.042820078101011294,PB_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,0.5840536814154608,PB_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,13,EPS,-0.037663359839887445,-0.171952411257555,19.8609865470852,136.02371541501975,④ 報酬降 風險升（雙輸）,PB
0.16009520865120197,14.51,-0.4078676916485816,-0.05370285624422837,0.4525972513393897,0.008427527874686591,PB_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.9640344767440638,PB_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,14,EPS,PB_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg,0.14220500521410684,16.27,-0.6180614623944432,-0.11515520726421935,0.537219730941704,-0.04168625867949205,PB_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,0.6717072939315892,PB_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,14,EPS,-0.01789020343709513,-0.21019377074586154,17.078512396694215,135.44401544401543,④ 報酬降 風險升（雙輸）,PB
0.16503950206545603,18.15,-0.6066896186172059,-0.08898399655908384,0.4845188284518828,0.02142171345334387,PB_qb0of3__PS_qb0of3__C15_FCF_P_DYN_riseq1__v0,0.7937860611768769,PB_qb0of3__PS_qb0of3,C15_FCF_P_DYN_riseq1,15,FCF_P,PB_qb0of3__PS_qb0of3__C15_FCF_P_DYN_riseq1,0.15010756522815183,20.1,-0.6214886047480361,-0.13004108873794246,0.47578125,0.02184484651038443,PB_qb0of3__PS_qb0of3__C15_FCF_P_DYN_riseq1__v1,0.6970321840446072,PB_qb0of3__PS_qb0of3,C15_FCF_P_DYN_riseq1,15,FCF_P,-0.014931936837304205,-0.014798986130830194,16.163265306122447,117.19047619047619,④ 報酬降 風險升（雙輸）,PB
0.16336065041668557,17.45,-0.5672133342332529,-0.07929957038350328,0.5148943540006927,-0.005860643499452922,PB_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,0.8073854465054443,PB_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,16,FCF_P,PB_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2,0.09675156676509378,24.14,-0.6096773854922257,-0.11893239959084169,0.5,-0.023354532996865962,PB_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.5061395847621527,PB_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,16,FCF_P,-0.0666090836515918,-0.04246405125897279,17.43673469387755,122.2244094488189,④ 報酬降 風險升（雙輸）,PB
